Source,Target
Garden Flowers,Oberon
Garden Flowers,Titania
Garden Flowers,Don John
Garden Flowers,Orsino
Garden Flowers,Biron
Garden Flowers,Boyet
Garden Flowers,Boyet
Garden Flowers,Touchstone
Garden Flowers,Petruchio
Garden Flowers,AC_Antony
Garden Flowers,Othello
Garden Flowers,Juliet
Garden Flowers,Princess
Garden Flowers,Perdita
Garden Flowers,Troilus
Garden Flowers,Guiderius
Garden Flowers,Titus
Garden Flowers,Perdita
Garden Flowers,Perdita
Garden Flowers,Marina
Garden Flowers,Longaville
Garden Flowers,Ophelia
Garden Flowers,Ophelia
Garden Flowers,Perdita
Garden Flowers,Mercutio
Garden Flowers,Romeo
Garden Flowers,Perdita
Garden Flowers,Polixenes
Garden Flowers,Beatrice
Garden Flowers,Margaret
Garden Flowers,Oberon
Wild Flowers,Orsino
Wild Flowers,Perdita
Wild Flowers,Laertes
Wild Flowers,Laertes
Wild Flowers,Belarius
Wild Flowers,Perdita
Wild Flowers,Perdita
Wild Flowers,Hermia
Wild Flowers,Arviragus
Wild Flowers,Porter
Wild Flowers,Oberon
Wild Flowers,Perdita
Wild Flowers,Ophelia
Wild Flowers,H_Queen
Wild Flowers,Lucius
Wild Flowers,Oberon
Wild Flowers,Titania
Wild Flowers,Ursula
Wild Flowers,Arviragus
Wild Flowers,Hero
Wild Flowers,Ariel
Wild Flowers,Fairy
Wild Flowers,Thisbe
Wild Flowers,C_Queen
Wild Flowers,Iachimo
Wild Flowers,Arviragus
Wild Flowers,Oberon
Weeds,Gonzalo
Weeds,TT_Antonio
Weeds,Sir Toby
Weeds,Cressida
Weeds,Iago
Weeds,Menenius
Weeds,Biron
Weeds,Coriolanus
Weeds,Cordelia
Weeds,Cordelia
Weeds,Third Witch
Weeds,Gonzalo
Weeds,Sebastian
Weeds,Bottom
Weeds,Dromio
Weeds,Rosalind
Weeds,Katharine
Weeds,Eros
Weeds,Marcius
Weeds,First Senator
Weeds,Romeo
Weeds,Lucio
Weeds,Lysander
Weeds,Rosalind
Weeds,Pandarus
Weeds,LLL_Costard
Weeds,Romeo
Weeds,Cordelia
Weeds,Tamora
Trees,Prospero
Trees,Prospero
Trees,Mrs Page
Trees,Benedick
Trees,Oliver
Trees,Paulina
Trees,Casca
Trees,Nestor
Trees,Iago
Trees,Volumnia
Trees,Volumnia
Trees,Second Guard
Trees,Volumnia
Trees,Timon
Trees,Prospero
Trees,Dumain
Trees,Coriolanus
Trees,Soothsayer
Trees,Soothsayer
Trees,Adriana
Trees,Titania
Trees,Boyet
Trees,Desdemona
Trees,Benvolio
Trees,Paris
Trees,TN_Clown
Trees,Tamora
Trees,Third Witch
Trees,TN_Clown
Trees,Gremio
Trees,Aufidius
Trees,Prospero
Trees,Prospero
Trees,TWT_First Lord
Trees,AC_Antony
Trees,Agamemnon
Trees,Belarius
Trees,Marcus
Trees,Maria
Trees,Benedick
Trees,Benedick
Trees,Lorenzo
Trees,Desdemona
Trees,H_Queen
Trees,Rosalind
Trees,Cassius
Trees,Hamlet
Trees,Rosalind
Trees,Oliver
Trees,AC_Caesar
Trees,Isabella
Trees,Euphronius
Trees,Petruchio
Trees,Ulysses
Trees,Titus
