Source,Target
Rose,Oberon
Rose,Titania
Rose,Don John
Rose,Orsino
Rose,Biron
Rose,Boyet
Rose,Boyet
Rose,Touchstone
Rose,Petruchio
Rose,AC_Antony
Rose,Othello
Rose,Juliet
Lily,Princess
Lily,Perdita
Lily,Troilus
Lily,Guiderius
Lily,Titus
Carnation,Perdita
Marigold,Perdita
Marigold,Marina
Columbine,Longaville
Columbine,Ophelia
Pansy,Ophelia
Lavender,Perdita
Pink,Mercutio
Pink,Romeo
Gillyvors,Perdita
Pink,Polixenes
Holy Thistle,Beatrice
Holy Thistle,Margaret
Violet,Oberon
Violet,Orsino
Violet,Perdita
Violet,Laertes
Violet,Laertes
Violet,Belarius
Daffodil,Perdita
Primrose,Perdita
Primrose,Hermia
Daffodil,Arviragus
Daffodil,Porter
Ox-Lip,Oberon
Ox-Lip,Perdita
Daisy,Ophelia
Daisy,H_Queen
Daisy,Lucius
Woodbine And Eglantine,Oberon
Woodbine And Eglantine,Titania
Woodbine And Eglantine,Ursula
Woodbine And Eglantine,Arviragus
Honeysuckle,Hero
Cowslip,Ariel
Cowslip,Fairy
Cowslip,Thisbe
Cowslip,C_Queen
Cowslip,Iachimo
Hare-Bell,Arviragus
Love-In-Idleness,Oberon
Nettle,Gonzalo
Nettle,TT_Antonio
Nettle,Sir Toby
Nettle,Cressida
Nettle,Iago
Nettle,Menenius
Cockle,Biron
Cockle,Coriolanus
Fumitory,Cordelia
"Hemlock, Harlock",Cordelia
"Hemlock, Harlock",Third Witch
Dock,Gonzalo
Dock,Sebastian
Thistle,Bottom
Rushes,Dromio
Rushes,Rosalind
Rushes,Katharine
Rushes,Eros
Rushes,Marcius
Rushes,First Senator
Rushes,Romeo
Burs,Lucio
Burs,Lysander
Burs,Rosalind
Burs,Pandarus
Plantain,LLL_Costard
Plantain,Romeo
Cuckoo Flowers,Cordelia
Clover,Tamora
Oak,Prospero
Oak,Prospero
Oak,Mrs Page
Oak,Benedick
Oak,Oliver
Oak,Paulina
Oak,Casca
Oak,Nestor
Oak,Iago
Oak,Volumnia
Oak,Volumnia
Oak,Second Guard
Oak,Volumnia
Oak,Timon
Cedar,Prospero
Cedar,Dumain
Cedar,Coriolanus
Cedar,Soothsayer
Cedar,Soothsayer
Elm,Adriana
Elm,Titania
Sycamore,Boyet
Sycamore,Desdemona
Sycamore,Benvolio
Yew,Paris
Yew,TN_Clown
Yew,Tamora
Yew,Third Witch
Cypress,TN_Clown
Cypress,Gremio
Cypress,Aufidius
Pine,Prospero
Pine,Prospero
Pine,TWT_First Lord
Pine,AC_Antony
Pine,Agamemnon
Pine,Belarius
Aspen,Marcus
Box,Maria
Willow,Benedick
Willow,Benedick
Willow,Lorenzo
Willow,Desdemona
Willow,H_Queen
Palm,Rosalind
Palm,Cassius
Palm,Hamlet
Olive,Rosalind
Olive,Oliver
Olive,AC_Caesar
Myrtle,Isabella
Myrtle,Euphronius
Hazel,Petruchio
Laurel,Ulysses
Laurel,Titus
Elder,Arviragus
Elder,Saturninus
Pomegranate-tree,Juliet
Crab,Menenius
Holly,Amiens
Mistletoe,Tamora
Vine,Ceres
Vine,Timon
Vine,Lear
Ivy,Prospero
Ivy,Shepherd
Ivy,Adriana
Hawthorn,Helena
Hawthorn,Rosalind
Hawthorn,Edgar
Osiers,Nathaniel
Osiers,Celia
Briers,Ariel
Briers,Rosalind
Briers,Helena
Briers,Timon
Heath,Gonzalo
Strawberry,Iago
Apricots,Titania
Grapes,Titania
Grapes,Touchstone
Grapes,Lafeu
Grapes,Iago
Grapes,Menenius
Figs,First Guard
Pears,Falstaff
Pears,Parolles
Apples,Sebastian
Apples,TT_Antonio
Apples,Evans
Apples,Malvolio
Apples,MV_Antonio
Apples,Biondello
Apples,Petruchio
Apples,Fool
Quince,Nurse
Orange,Beatrice
Orange,MAAN_Claudio
Orange,Menenius
Lemon,Biron
Cherries,AMND_Demetrius
Cherries,Helena
Cherries,Gower
Mulberry,Titania
Mulberry,Volumnia
Medlars,Touchstone
Medlars,Rosalind
Medlars,Timon
Medlars,Apemantus
Medlars,Mercutio
Blackberry,Thersites
Crab,Petruchio
Crab,Katharine
Crab,Petruchio
Crab,Fool
Bilberry,Pistol
Dewberry,Titania
Nuts,Thersites
Nuts,Hamlet
Nuts,Mercutio
Walnut,Ford
Walnut,Haberdasher
Walnut,Petruchio
Hazel-Nut,Mercutio
Chestnut,Petruchio
Chestnut,First Witch
Prunes,Slender
Prunes,Pompey (Measure for Measure)
Prunes,TWT_Clown
Dates,TWT_Clown
Currants,TWT_Clown
Raisins,TWT_Clown
Acorn,Prospero
Acorn,Puck
Acorn,Celia
Berries,Caliban
Berries,Caliban
Berries,First Bandit
Berries,AC_Caesar
Potato,Falstaff
Cabbage,Falstaff
Turnips,Anne
Parsley,Biondello
Peascod,Touchstone
Peascod,Malvolio
Peascod,Fool
Lettuce,Iago
Mushroom,Prospero
Samphire,Edgar
Onion,Bottom
Onion,Lord
Onion,Lafeu
Onion,Enobarbus
Onion,Enobarbus
Garlic,Bottom
Garlic,Dorcas
Garlic,Menenius
Leek,Thisbe
Mint,Dumain
Mint,Perdita
Savory,Perdita
Marjoram,Perdita
Marjoram,Lafeu
Marjoram,AWTEW_Clown
Marjoram,Edgar
Rue,Perdita
Rue,Ophelia
Rosemary,Perdita
Rosemary,Ophelia
Rosemary,Nurse
Rosemary,Friar
Rosemary,Edgar
Fennel,Ophelia
Hyssop And Thyme,Iago
Hyssop And Thyme,Oberon
Balm,Anne
Nutmeg,Dumain
Nutmeg,TWT_Clown
Clove,Longaville
Ginger,TWT_Costard
Ginger,TWT_Clown
Mace,TWT_Clown
Saffron,TWT_Clown
Pepper,Ford
Pepper,Sir Andrew
Mustard,Mustard (Character)
Mustard,Bottom
Mustard,Touchstone
Mustard,Rosalind
Mustard,Rosalind
Mustard,Touchstone
Rhubarb and Senna,Macbeth
Poppy And Mandragora,Iago
Poppy And Mandragora,Cleopatra
Hebenon,Ghost
Gum,Othello
Gum,Poet
Gum,Hamlet
"Coloquintida, Locusts",Iago
Corn,Gonzalo
Corn,MFM_Duke
Corn,Menenius
Corn,Marcius
Corn,First Citizen
Corn,C_Brutus
Corn,Coriolanus
Corn,Pericles
Corn,Macbeth
Wheat,Iris
Wheat,Helena
Wheat,Pompey (Antony and Cleopatra)
Wheat,Pandarus
Wheat,Hamlet
Wheat,Edgar
Barley,Iris
Oats,Bottom
Oats,Grumio
Oats,Officer
Rye,Iris
Vetches,Iris
Peas,Iris
Peas,Bottom
Peas,Biron
Flax,Sir Toby
Flax,Third Servant
Rice,Clown
Ostrich,Enobarbus
Peacock,Iris
Peacock,Dromio
Peacock,Thersites
Parrot,Dromio
Parrot,Benedick
Parrot,Rosalind
Parrot,Salarino
Parrot,Lorenzo
Eagle,Cassius
Eagle,Enobarbus
Eagle,Coriolanus
Eagle,Poet
Eagle,Nurse
Eagle,Cleon
Eagle,Soothsayer
Vulture,Lear
Falcon,Petruchio
Falcon,Isabella
Falcon,Pandarus
Falcon,Old Man
Hawk,Page
Hawk,Lord
Haggard,Hero
Haggard,Viola
Haggard,Petruchio
Haggard,Hortensio
Haggard,Othello
Eyas,Rosencrantz
Eyas-Musket,Mrs Page
Eyas-Musket,Mrs. Ford
Coystril,Sir Toby
Puttock,Imogen
Owl,Ariel
