Main Topic,Sub-topic,Character,Play,Genre,Gender,Status
Garden Flowers,Rose,Oberon,A Midsummer Night's Dream,Comedy,Male,Major
Garden Flowers,Rose,Titania,A Midsummer Night's Dream,Comedy,Female,Major
Garden Flowers,Rose,Don John,Much Ado About Nothing,Comedy,Male,Major
Garden Flowers,Rose,Orsino,Twelfth Night,Comedy,Male,Major
Garden Flowers,Rose,Biron,Love's Labour's Lost,Comedy,Male,Minor
Garden Flowers,Rose,Boyet,Love's Labour's Lost,Comedy,Male,Minor
Garden Flowers,Rose,Boyet,Love's Labour's Lost,Comedy,Male,Minor
Garden Flowers,Rose,Touchstone,As You Like It,Comedy,Male,Minor
Garden Flowers,Rose,Petruchio,The Taming of the Shrew,Comedy,Male,Minor
Garden Flowers,Rose,AC_Antony,Antony and Cleopatra,Tragedy,Male,Major
Garden Flowers,Rose,Othello,Othello,Tragedy,Male,Major
Garden Flowers,Rose,Juliet,Romeo and Juliet,Tragedy,Female,Major
Garden Flowers,Lily,Princess,Love's Labour's Lost,Comedy,Female,Major
Garden Flowers,Lily,Perdita,The Winter's Tale,Comedy,Female,Major
Garden Flowers,Lily,Troilus,Troilus and Cressida,Tragedy,Male,Major
Garden Flowers,Lily,Guiderius,Cymbeline,Tragedy,Male,Major
Garden Flowers,Lily,Titus,Titus Andronicus,Tragedy,Male,Major
Garden Flowers,Carnation,Perdita,The Winter's Tale,Comedy,Female,Major
Garden Flowers,Marigold,Perdita,The Winter's Tale,Comedy,Female,Major
Garden Flowers,Marigold,Marina,Pericles,Comedy,Female,Major
Garden Flowers,Columbine,Longaville,Love's Labour's Lost,Comedy,Male,Minor
Garden Flowers,Columbine,Ophelia,Hamlet,Tragedy,Female,Major
Garden Flowers,Pansy,Ophelia,Hamlet,Tragedy,Female,Major
Garden Flowers,Lavender,Perdita,The Winter's Tale,Comedy,Female,Major
Garden Flowers,Pink,Mercutio,Romeo and Juliet,Tragedy,Male,Minor
Garden Flowers,Pink,Romeo,Romeo and Juliet,Tragedy,Male,Major
Garden Flowers,Gillyvors,Perdita,The Winter's Tale,Comedy,Female,Major
Garden Flowers,Pink,Polixenes,The Winter's Tale,Comedy,Male,Minor
Garden Flowers,Holy Thistle,Beatrice,Much Ado About Nothing,Comedy,Female,Major
Garden Flowers,Holy Thistle,Margaret,Much Ado About Nothing,Comedy,Female,Minor
Garden Flowers,Violet,Oberon,A Midsummer Night's Dream,Comedy,Male,Major
Wild Flowers,Violet,Orsino,Twelfth Night,Comedy,Male,Major
Wild Flowers,Violet,Perdita,The Winter's Tale,Comedy,Female,Major
Wild Flowers,Violet,Laertes,Hamlet,Tragedy,Male,Major
Wild Flowers,Violet,Laertes,Hamlet,Tragedy,Male,Major
Wild Flowers,Violet,Belarius,Cymbeline,Tragedy,Male,Major
Wild Flowers,Daffodil,Perdita,The Winter's Tale,Comedy,Female,Major
Wild Flowers,Primrose,Perdita,The Winter's Tale,Comedy,Female,Major
Wild Flowers,Primrose,Hermia,A Midsummer Night's Dream,Comedy,Female,Major
Wild Flowers,Daffodil,Arviragus,Cymbeline,Tragedy,Male,Major
Wild Flowers,Daffodil,Porter,Macbeth,Tragedy,Male,Minor
Wild Flowers,Ox-Lip,Oberon,A Midsummer Night's Dream,Comedy,Male,Major
Wild Flowers,Ox-Lip,Perdita,The Winter's Tale,Comedy,Female,Major
Wild Flowers,Daisy,Ophelia,Hamlet,Tragedy,Female,Major
Wild Flowers,Daisy,H_Queen,Hamlet,Tragedy,Female,Major
Wild Flowers,Daisy,Lucius,Cymbeline,Tragedy,Male,Minor
