Id,Label,Type
Animals,Animals,Main topic
Birds,Birds,Main topic
Fish,Fish,Main topic
Fruits,Fruits,Main topic
Garden Flowers,Garden Flowers,Main topic
Grain,Grain,Main topic
Herbs,Herbs,Main topic
Insects,Insects,Main topic
Reptiles,Reptiles,Main topic
Spices And Medicines,Spices And Medicines,Main topic
Trees,Trees,Main topic
Vegetables,Vegetables,Main topic
Weeds,Weeds,Main topic
Wild Flowers,Wild Flowers,Main topic
1st Fisher,1st Fisher,Character
2nd Witch,2nd Witch,Character
3rd Fisher,3rd Fisher,Character
AC_Antony,AC_Antony,Character
AC_Caesar,AC_Caesar,Character
AC_Clown,AC_Clown,Character
AMND_Demetrius,AMND_Demetrius,Character
AWTEW_Clown,AWTEW_Clown,Character
AWTEW_First Lord,AWTEW_First Lord,Character
AYLI_Duke,AYLI_Duke,Character
AYLI_First Lord,AYLI_First Lord,Character
Aaron,Aaron,Character
Achilles,Achilles,Character
Adam,Adam,Character
Adriana,Adriana,Character
Agamemnon,Agamemnon,Character
Ajax,Ajax,Character
Albany,Albany,Character
Alexander,Alexander,Character
Alexas,Alexas,Character
All Servants,All Servants,Character
Amiens,Amiens,Character
Anne,Anne,Character
Ant. S.,Ant. S.,Character
Antigonus,Antigonus,Character
Antipholus E.,Antipholus E.,Character
Apemantus,Apemantus,Character
Ariel,Ariel,Character
Armado,Armado,Character
Arvigarus,Arvigarus,Character
Arviragus,Arviragus,Character
Aufidius,Aufidius,Character
Autolycus,Autolycus,Character
Banquo,Banquo,Character
Bassanio,Bassanio,Character
Beatrice,Beatrice,Character
Belarius,Belarius,Character
Benedick,Benedick,Character
Benedick (aside),Benedick (aside),Character
Benvolio,Benvolio,Character
Bernardo,Bernardo,Character
Biondello,Biondello,Character
Biron,Biron,Character
Bottom,Bottom,Character
Boyet,Boyet,Character
C_Brutus,C_Brutus,Character
C_Queen,C_Queen,Character
Caius,Caius,Character
Caliban,Caliban,Character
Calphurnia,Calphurnia,Character
Casca,Casca,Character
Cassius,Cassius,Character
Celia,Celia,Character
Ceres,Ceres,Character
Claud,Claud,Character
Cleon,Cleon,Character
Cleopatra,Cleopatra,Character
Cloten,Cloten,Character
Clown,Clown,Character
Clown (Feste),Clown (Feste),Character
Cominius,Cominius,Character
Conrade,Conrade,Character
Cordelia,Cordelia,Character
Coriolanus,Coriolanus,Character
Cornelia,Cornelia,Character
Cornelius,Cornelius,Character
Countess,Countess,Character
Cressida,Cressida,Character
Decius,Decius,Character
Desdemona,Desdemona,Character
Dion,Dion,Character
Dionyza,Dionyza,Character
Dogberry,Dogberry,Character
Don John,Don John,Character
Don Pedro,Don Pedro,Character
Dorcas,Dorcas,Character
Dromio,Dromio,Character
Dromio E.,Dromio E.,Character
Dromio S.,Dromio S.,Character
Dromio S. (within),Dromio S. (within),Character
Dumain,Dumain,Character
Duncan,Duncan,Character
Edgar,Edgar,Character
Edmund,Edmund,Character
Emilia,Emilia,Character
Enobarbus,Enobarbus,Character
Eros,Eros,Character
Euphronius,Euphronius,Character
Evans,Evans,Character
Fabian,Fabian,Character
Fairy,Fairy,Character
Falstaff,Falstaff,Character
First Bandit,First Bandit,Character
First Citizen,First Citizen,Character
First Fairy,First Fairy,Character
First Guard,First Guard,Character
First Huntsman,First Huntsman,Character
First Murderer,First Murderer,Character
First Senator,First Senator,Character
First Servant,First Servant,Character
First Witch,First Witch,Character
Flavius,Flavius,Character
Florizel,Florizel,Character
Fool,Fool,Character
Ford,Ford,Character
Francisco,Francisco,Character
Friar,Friar,Character
Gent,Gent,Character
Ghost,Ghost,Character
Gloster,Gloster,Character
Gonzalo,Gonzalo,Character
Gower,Gower,Character
Gratiano,Gratiano,Character
Gregory,Gregory,Character
Gremio,Gremio,Character
