Id,Label,Type
Animals,Animals,Main topic
Birds,Birds,Main topic
Fish,Fish,Main topic
Fruits,Fruits,Main topic
Garden Flowers,Garden Flowers,Main topic
Grain,Grain,Main topic
Herbs,Herbs,Main topic
Insects,Insects,Main topic
Reptiles,Reptiles,Main topic
Spices And Medicines,Spices And Medicines,Main topic
Trees,Trees,Main topic
Vegetables,Vegetables,Main topic
Weeds,Weeds,Main topic
Wild Flowers,Wild Flowers,Main topic
Female,Female,Gender
Group,Group,Gender
Male,Male,Gender
Supernatural,Supernatural,Gender
