ID,Nome,Detalhes,Ano de Matr¡cula,Lugar de Origem,X,Y
129,"Arthur, Owen","of Anglesea, pleb. Christ Church, matric. 28 March, 1617, aged 17; B.A. 17 Dec., 1619, rector of Lynch, Sussex, 1622, and vicar of Ferring, Sussex, 1632. See Foster's Index Ecclesiasticus.",1617,Anglesey,241852.669380709,379325.035624352
739,"Broadhead, Richard","of co. Anglesey, pleb. Magdalen Coll., matric. 18 June, 1610, aged 18; B.A. from Christ Church 19 Nov., 1612. [5]",1610,Anglesey,241852.669380709,379325.035624352
832,"Bulkeley, Robert","of Anglesea, pleb. Christ Church, matric. 25 Oct., 1616, aged 19; B.A. 10 Feb., 1617-18.",1616,Anglesey,241852.669380709,379325.035624352
1516,"Davies, John","of co. Anglesey, pleb. St. Edmund Hall, matric. 16 Nov., 1621, aged 20, B.A. 6 Nov., 1624; M.A. from Magdalen Hall 25 June, 1628.",1621,Anglesey,241852.669380709,379325.035624352
1517,"Davies, Owen","s. 'David Roberts,' of Llantrissaint, co. Anglesey, pleb. Jesus Coll., matric. 30 April, 1624, aged 19. [25]",1624,Anglesey,241852.669380709,379325.035624352
1526,"Davis, Thomas","of co. Anglesey, pleb. Oriel Coll., matric. 3 April, 1612, aged 19; B.A. 23 Oct., 1615, M.A. 10 June, 1618, rector of Llanvaethlu, co. Anglesey, 1619, father of Henry 1638. See Foster's Index Ecclesiasticus.",1612,Anglesey,241852.669380709,379325.035624352
1531,"Davies, William","of co. Anglesey, pleb. Hart Hall, matric. 2 Nov., 1621, aged 18; B.A. 21 Oct., 1623.",1621,Anglesey,241852.669380709,379325.035624352
1803,"Edmunds, John","of Anglesea, pleb. Christ Church, matric. 18 June, 1610, aged 19; B.A. 30 June, 1612, perhaps vicar of Deddington, Oxon, 1619. See Foster's Inns of Court Reg.",1610,Anglesey,241852.669380709,379325.035624352
2055,"Floyd, Hugh","of Anglesey, arm. fil. nat. max. St. Mary Hall., matric. 11 May, 1604, aged 18; B.A. from Oriel Coll. 13 Feb., 1606-7, as Lloyd.",1604,Anglesey,241852.669380709,379325.035624352
2057,"Floyd, Owen","of Anglesea, pleb. Queen's Coll., matric. 10 Nov., 1621, aged 16; perhaps B.A. from Jesus Coll. 26 Feb., 1624-5, as Lloyd, which see.",1621,Anglesey,241852.669380709,379325.035624352
2062,"Floyd, William","of Anglesey, pleb. Magdalen Coll., matric. 18 June, 1610, aged 18.",1610,Anglesey,241852.669380709,379325.035624352
2824,"Heylyn, Thomas (Hyline)","of Anglesea, pleb. St. Edmund Hall, matric. 3 June, 1603, aged 15, called ""Heylen"" in Mat. Reg.",1603,Anglesey,241852.669380709,379325.035624352
3043,"Hughes, Lewis","of co. Anglesey, pleb. All Souls' Coll., matric. 19 March, 1618-19, aged 17; B.A. 9 Nov., 1622. [10]",1618,Anglesey,241852.669380709,379325.035624352
3062,"Humphrey, Rice","s. Rice, of Llanerch Medd, co. Anglesea, pleb. Gloucester Hall, matric. 14 March, 1622-3, aged 16; B.A. 14 Feb., 1627-8.",1622,Anglesey,241852.669380709,379325.035624352
3065,"Humphreys, William (Humffreys)","of co. Anglesea, pleb. Hart Hall, matric. 9 Nov., 1621, aged 18.",1621,Anglesey,241852.669380709,379325.035624352
3294,"Johnes, Rice","of co. Anglesea, pleb. All Souls' Coll., matric. 2 Nov., 1621, aged 19; B.A. 20 Feb., 1622-3.",1621,Anglesey,241852.669380709,379325.035624352
3310,"Jones, Rowland (Johnes)","of co. Anglesea, pleb. Broadgates Hall, matric. 18 June, 1619, aged 20; B.A. 7 June, 1621, M.A. 16 April, 1624.",1619,Anglesey,241852.669380709,379325.035624352
3633,"Lewis, Edward","of co. Anglesea, pleb. Christ Church, matric. 19 June, 1610, aged 20; B.A. 29 Jan., 1611-12.",1610,Anglesey,241852.669380709,379325.035624352
3640,"Lewis, John","of co. Anglesea, pleb. Magdalen Coll., matric. 25 Oct., 1616, aged 21; B.A. 23 June, 1617. [5]",1616,Anglesey,241852.669380709,379325.035624352
3702,"Lloyd, Owen","of Anglesey, pleb. Queen's Coll., matric. 10 Nov., 1621, aged 16 (subs. as Floyd); perhaps B.A. from Jesus Coll. 26 Feb., 1624-5, rector of Llanengan, co. Carnarvon, 1643. See Foster's Index Eccl.",1621,Anglesey,241852.669380709,379325.035624352
3975,"Meredith, William","of co. Anglesea, pleb. All Souls' Coll., matric. 5 July, 1617, aged 20; B.A. 10 Feb., 1617-18, M.A. 31 Oct., 1623.",1617,Anglesey,241852.669380709,379325.035624352
4119,"Morris, John","of Anglesey, pleb. Christ Church, matric. 23 Nov., 1621, aged 20.",1621,Anglesey,241852.669380709,379325.035624352
