source,target,type
b1_01,Q8409,undirected
b1_01,Q8409,undirected
b1_01,Q459163,undirected
b1_01,Q459163,undirected
b1_01,Q157133,undirected
b1_01,Q171241,undirected
b1_01,Q332750,undirected
b1_01,Q332750,undirected
b1_01,Q184854,undirected
b1_01,Q190436,undirected
b1_01,personb10101,undirected
b1_01,personb10102,undirected
b1_01,Q316059,undirected
b1_01,Q11922151,undirected
b1_01,Q11922151,undirected
b1_01,Q41523,undirected
b1_01,Q41523,undirected
b1_01,Q41523,undirected
b1_01,Q125414,undirected
b1_01,Q5959,undirected
b1_01,Q160614,undirected
b1_01,Q483783,undirected
b1_01,Q68012,undirected
b1_01,Q47492,undirected
b1_01,Q849324,undirected
b1_01,Q45656,undirected
b1_01,Q3437,undirected
b1_01,Q2107419,undirected
b1_01,Q8471,undirected
b1_01,Q11225429,undirected
b1_01,Q11225429,undirected
b1_01,Q1584,undirected
b1_02,Q182483,undirected
b1_02,Q182483,undirected
b1_02,Q163079,undirected
b1_02,Q712264,undirected
b1_02,Q1541,undirected
b1_02,Q171241,undirected
b1_02,Q171241,undirected
b1_02,Q332750,undirected
b1_02,Q332750,undirected
b1_02,Q150611,undirected
b1_02,Q44601,undirected
b1_02,Q26825,undirected
b1_02,Q192673,undirected
b1_02,Q235591,undirected
b1_02,Q49237,undirected
b1_02,Q1235482,undirected
b1_02,Q3290279,undirected
b1_02,Q213621,undirected
b1_02,Q7198,undirected
b1_02,Q1401,undirected
b1_02,Q82778,undirected
b1_02,Q82778,undirected
b1_02,Q82778,undirected
b1_02,Q316278,undirected
b1_02,Q316278,undirected
b1_02,Q135004989,undirected
b1_02,Q2054,undirected
b1_02,Q7235,undirected
b1_02,Q1398,undirected
b1_02,Q1398,undirected
b1_02,Q193478,undirected
b1_02,Q568611,undirected
b1_02,Q14112,undirected
b1_02,Q490,undirected
b1_02,Q3376,undirected
b1_03,Q271850,undirected
b1_03,Q868,undirected
b1_03,Q8018,undirected
b1_03,Q2452129,undirected
b1_03,Q314905,undirected
b1_03,Q543525,undirected
b1_03,Q1541,undirected
b1_03,Q1541,undirected
b1_03,Q1541,undirected
b1_03,Q934471,undirected
b1_03,Q8423,undirected
b1_03,Q171241,undirected
b1_03,Q1226901,undirected
b1_03,Q57798,undirected
b1_03,Q47130,undirected
b1_03,Q43216,undirected
b1_03,Q26825,undirected
b1_03,Q215968,undirected
b1_03,Q173893,undirected
b1_03,Q105452,undirected
b1_03,Q47154,undirected
b1_03,Q934510,undirected
b1_03,Q150726,undirected
b1_03,Q1413,undirected
b1_03,Q315822,undirected
b1_03,Q34417,undirected
b1_03,Q552017,undirected
b1_03,Q859,undirected
b1_03,Q41523,undirected
b1_03,Q15066851,undirected
b1_03,Q187312,undirected
b1_03,Q2054,undirected
b1_03,Q2054,undirected
b1_03,Q913,undirected
b1_03,Q133337,undirected
b1_03,Q133337,undirected
b1_03,Q2161,undirected
b1_03,Q562284,undirected
b1_03,Q2039,undirected
b1_03,Q129772,undirected
b1_03,Q23822737,undirected
b1_03,Q1152,undirected
b1_03,Q39193,undirected
b1_03,Q6221,undirected
b1_03,Q844930,undirected
b1_03,Q188527,undirected
b1_03,Q127834,undirected
b1_03,Q18440294,undirected
b1_03,Q1076321,undirected
b1_03,Q2028,undirected
b1_04,Q298808,undirected
b1_04,Q1405,undirected
b1_04,Q359231,undirected
b1_04,Q1409,undirected
b1_04,Q1541,undirected
b1_04,Q8423,undirected
b1_04,Q188646,undirected
b1_04,Q188646,undirected
b1_04,Q3954,undirected
b1_04,Q41523,undirected
b1_04,Q41523,undirected
b1_04,Q41523,undirected
b1_04,Q214765,undirected
b1_04,Q214765,undirected
b1_04,Q2054,undirected
b1_04,Q2039,undirected
b1_04,Q2039,undirected
b1_04,Q129165,undirected
b1_04,Q304413,undirected
b1_04,Q142,undirected
b1_04,Q62646,undirected
b1_04,Q130321,undirected
b1_04,Q29,undirected
b1_05,Q29556094,undirected
b1_05,Q356952,undirected
b1_05,Q200401,undirected
b1_05,Q200401,undirected
b1_05,Q4865298,undirected
b1_05,Q1541,undirected
b1_05,Q297366,undirected
b1_05,Q44601,undirected
b1_05,Q3779335,undirected
b1_05,Q3779335,undirected
b1_05,personb10501,undirected
b1_05,Q69450,undirected
b1_05,Q18420,undirected
b1_05,personb10502,undirected
b1_05,personb10503,undirected
b1_05,Q316483,undirected
b1_05,Q143559,undirected
b1_05,Q207363,undirected
b1_05,Q131169,undirected
b1_05,Q1227416,undirected
b1_05,Q172353,undirected
b1_05,Q921574,undirected
b1_05,Q921574,undirected
b1_05,Q1398,undirected
b1_05,Q651968,undirected
b1_05,Q28420030,undirected
b1_05,Q3343437,undirected
b1_05,Q13360,undirected
b1_05,Q19151,undirected
b2_01,Q8409,undirected
b2_01,Q200401,undirected
b2_01,Q1405,undirected
b2_01,Q134646,undirected
b2_01,Q193506,undirected
b2_01,personb20101,undirected
b2_01,personb20101,undirected
b2_01,Q1541,undirected
b2_01,Q1541,undirected
b2_01,Q1541,undirected
b2_01,Q1541,undirected
b2_01,Q26341,undirected
b2_01,Q117253,undirected
b2_01,Q83375,undirected
b2_01,Q462978,undirected
b2_01,Q6197,undirected
b2_01,Q6197,undirected
b2_01,Q6197,undirected
b2_01,Q6197,undirected
b2_01,Q4649,undirected
b2_01,Q229432,undirected
b2_01,Q47154,undirected
b2_01,Q242819,undirected
b2_01,Q242819,undirected
b2_01,Q48900,undirected
b2_01,Q112,undirected
b2_01,Q34503,undirected
b2_01,Q3954,undirected
b2_01,Q1413,undirected
b2_01,Q363375,undirected
b2_01,Q2054,undirected
b2_01,Q7235,undirected
b2_01,Q109598,undirected
b2_01,Q47652,undirected
b2_01,Q47652,undirected
b2_02,Q11850760,undirected
b2_02,Q325026,undirected
b2_02,Q366031,undirected
b2_02,Q366031,undirected
b2_02,Q3356,undirected
b2_02,Q179149,undirected
b2_02,Q73527,undirected
b2_02,Q868,undirected
b2_02,Q188472,undirected
b2_02,Q356050,undirected
b2_02,Q1405,undirected
b2_02,Q645312,undirected
b2_02,Q180081,undirected
b2_02,Q180081,undirected
b2_02,Q1541,undirected
b2_02,Q638091,undirected
b2_02,Q297960,undirected
b2_02,Q41680,undirected
b2_02,Q190436,undirected
b2_02,Q43216,undirected
b2_02,Q207370,undirected
b2_02,Q207370,undirected
b2_02,Q6197,undirected
