id,label,type,book
b1_05,commander of a besieged place,essay,1
b2_05,conscience,essay,2
b2_03,custom of the Cea island,essay,2
b3_04,diversion,essay,3
b2_02,drunkenness,essay,2
b1_04,emotions bestowed on false objects,essay,1
b2_01,inconstancy of our actions,essay,2
b1_02,on sorrow,essay,1
b1_03,our affections outlive us,essay,1
b3_01,profit and honesty,essay,3
b3_02,repentance,essay,3
b3_03,three commerces,essay,3
b2_04,tomorrow is a new day,essay,2
b1_01,various ways lead to the same end,essay,1
b3_05,verses by Virgil,essay,3
Q4531268,Aelia Junilla,person,
Q43423,Aesop,person,
Q204397,Afonso de Albuquerque,person,
Q271850,Agesilaus II,person,
Q299479,Agis IV,person,
Q187982,Alcibiades,person,
Q29556094,Alessandro Trivulzio,person,
Q8409,Alexander the Great,person,
Q11850760,Alexander Wilhelm Boisman,person,
Q298808,Alfonso XI of Castile and Leon,person,
Q42702348,Amadis of Gaul,person,
Q325026,Anacharsis,person,
Q213484,Anacreon,person,
Q366031,Anaxarchus,person,
Q501504,"Andrew, Duke of Calabria",person,
Q356952,Anne de Montmorency,person,
Q768633,Antigenidas,person,
Q200401,Antigonus I Monophthalmus,person,
Q241386,Antigonus II Gonatas,person,
Q359687,Antigonus II Mattathias,person,
Q11906123,Antinous of Epirus,person,
Q3356,Antiochus IV Epiphanes,person,
Q204760,Antipater,person,
Q179149,Antisthenes,person,
Q37340,Apollo,person,
Q15872635,Apollodorus of Cassandreia,person,
Q73527,Arcesilaus,person,
Q45581,Archangel Michael,person,
Q3020218,Archeanassa,person,
Q26846,Archelaus I of Macedon,person,
personb20401,Archias,person,
Q2860079,Archias of Thebes,person,
personb30501,Arhaemenes,person,
Q184874,Ariadne,person,
Q189506,Aristippus,person,
Q2528551,Aristo of Ceos,person,
Q2709649,Aristodemus,person,
Q868,Aristotle,person,
Q68880,Arminius,person,
Q188472,Artaxerxes II of Persia,person,
Q190323,Atalanta,person,
Q37122,Athena,person,
Q356050,Attalus,person,
Q8018,Augustine of Hippo,person,
Q1405,Augustus,person,
Q294800,Aulus Gellius,person,
Q645312,Bacchus,person,
Q4865298,Bartholomew de Burghersh,person,
Q2452129,Bartolomeo d'Alviano,person,
Q459163,Batis,person,
Q314905,Bertrand du Guesclin,person,
personb20501,Bessus the Paeonian,person,
Q365977,Bias of Priene,person,
Q359231,Bion of Borysthenes,person,
Q8249134,Boges,person,
Q2531578,Boiocalus,person,
Q53436,Bolesław I the Brave,person,
Q134646,Boniface VIII,person,
Q311742,Brasidas,person,
Q1409,Caligula,person,
Q182483,Cambyses II,person,
Q162819,Catherine of Aragon,person,
Q180081,Cato the Elder,person,
Q193506,Cato the Younger,person,
Q163079,Catullus,person,
Q543525,Chabrias,person,
Q1063034,Chararic,person,
Q151120,Charles the Bold,person,
Q712264,"Charles, Cardinal of Lorraine",person,
personb20101,Chasan,person,
Q774567,Chromatius,person,
Q211411,Chrysippus of Soli,person,
Q1541,Cicero,person,
Q218102,Cimon,person,
Q205947,Claudian,person,
Q310149,Cleanthes,person,
Q26341,Cleitus the Black,person,
Q108926,Clément Marot,person,
Q1774128,Cleombrotus of Ambracia,person,
Q310811,Cleomenes III,person,
Q19843472,Clodia Laeta,person,
Q82339,Clovis I,person,
Q157133,Conrad III of Germany,person,
Q638091,Cossus Cornelius Lentulus,person,
Q2998641,Cotys III,person,
Q950303,Cratippus of Pergamon,person,
Q934471,Criton,person,
Q5194501,Cupid,person,
Q8423,Cyrus the Great,person,
Q297960,Cyrus the Younger,person,
Q5215660,Dandamis,person,
Q211430,Demades,person,
Q313286,Demetrius of Phalerum,person,
personb20301,"Democritus, Aetolian general",person,
Q117253,Demosthenes,person,
Q905162,Dido,person,
Q171241,Diodorus Siculus,person,
Q59138,Diogenes Laërtius,person,
Q59180,Diogenes of Sinope,person,
Q1226901,Diomedon,person,
Q457885,Dion of Syracuse,person,
Q332750,Dionysius I of Syracuse,person,
Q41680,Dionysus,person,
Q57798,Edward I of England,person,
Q184854,"Edward, the Black Prince",person,
Q83375,Empedocles,person,
Q47130,Ennius,person,
Q190436,Epaminondas,person,
Q43216,Epicurus,person,
Q43499,Erasmus,person,
Q297366,Eumenes,person,
Q1042300,Fauna,person,
Q150611,"Ferdinand I, Holy Roman Emperor",person,
Q209644,Flora,person,
Q44601,Francesco Guicciardini,person,
Q664061,"Francis, Count of Enghien",person,
personb20304,Fulvius,person,
Q207370,Gaius Cassius Longinus,person,
Q8825,Gaius Cornelius Gallus,person,
Q1196109,Gaius Fabricius Luscinus,person,
Q8833,Gaius Maecenas,person,
Q462978,Gaius Marius the Younger,person,
Q285517,Gaius Silius,person,
personb30506,Galba,person,
Q1414,Galba,person,
Q11924631,Gavius Silvanus,person,
Q468608,Gelo,person,
Q5683,Geoffrey Chaucer,person,
Q1402,Giovanni Boccaccio,person,
Q10291570,Gryllus,person,
Q3779335,Guido II Rangoni,person,
Q36456,Hannibal,person,
Q437876,Hegesias of Cyrene,person,
personb30504,Hemon,person,
personb10501,Henry de Vaux,person,
Q313700,"Henry I of Lorraine, duke of Guise",person,
Q69450,Henry III of Nassau-Breda,person,
Q936976,Henry IV of France,person,
Q316334,Heraclides Ponticus,person,
Q26825,Herodotus,person,
Q44233,Hesiod,person,
Q5264,Hippocrates,person,
Q127351894,Hippomachus,person,
Q7515976,Hippomenes of Athens,person,
Q6691,Homer,person,
Q6197,Horace,person,
personb10101,Hugh de la Roche,person,
Q314447,Hypereides,person,
Q192673,Iphigenia,person,
Q235591,Isabella Jagiellon,person,
Q462371,Jacques Amyot,person,
personb20302,"Jacques du Chastel, bishop of Soissons",person,
Q1677782,Jacques Dubois,person,
Q312735,James II of Aragon,person,
Q215968,Jan Žižka,person,
Q3175603,Jean de Morvillier,person,
personb10102,Jean de Villemure,person,
Q44248,Jerome,person,
Q302,Jesus,person,
Q18420,Joachim du Bellay,person,
Q235381,Joanna I of Naples,person,
Q173893,John Wycliffe,person,
Q134461,Josephus,person,
Q11929337,Jubellius Taurea,person,
Q467062,Judah Leon Abravanel,person,
Q1048,Julius Caesar,person,
Q18999,Junius Rusticus,person,
Q125046,Juno,person,
Q4649,Jupiter,person,
Q193800,Juvenal,person,
personb30502,"Kinge, wife of Boleslas of Poland",person,
Q92172807,Lakamy Sylla,person,
Q49237,Leo X,person,
Q137727508,Léonor de Montaigne,person,
Q105452,Lepidus,person,
Q1235482,Lesbia,person,
Q469701,Livia,person,
personb10502,Lord of Lassigny,person,
personb10503,Lord of Montmord,person,
Q188646,Lucan,person,
Q316483,Lucius Annaeus Florus,person,
Q1076644,Lucius Arruntius,person,
Q6697596,Lucius Calpurnius Piso,person,
Q171083,Lucius Cornelius Cinna,person,
Q223440,Lucius Junius Brutus,person,
Q1713818,Lucius Junius Silanus Torquatus,person,
Q1215588,Lucius Pomponius Flaccus,person,
Q431201,Lucius Scribonius Libo,person,
Q229432,Lucretia,person,
Q47154,Lucretius,person,
Q242819,Lucullus,person,
Q48900,Ludovico Ariosto,person,
Q934510,Lyco of Troas,person,
Q211326,Lycurgus of Sparta,person,
Q143559,Lysander,person,
Q310164,Lysias,person,
Q32133,Lysimachus,person,
Q776343,Mamercus Aemilius Scaurus,person,
Q3290279,Manius Juventius Thalna,person,
Q318718,Marcus Atilius Regulus,person,
Q1430,Marcus Aurelius,person,
Q172248,Marcus Junius Brutus,person,
Q175121,Marcus Licinius Crassus,person,
Q433463,Marcus Livius Drusus,person,
Q190058,Margaret of Valois-Angoulême,person,
Q3848545,Mario Equicola,person,
Q51673,Mark Antony,person,
Q112,Mars,person,
Q192374,Marsilio Ficino,person,
Q2098,Martial,person,
Q182070,Maxentius,person,
Q150726,Maximilian I,person,
Q34503,Mehmed II,person,
personb30503,Melissa,person,
Q1361688,Mellin de Saint-Gelais,person,
Q940580,Meno,person,
Q1150,Mercury,person,
Q539514,Metrodorus of Lampsacus,person,
Q308398,Midas,person,
personb20402,Monsieur de Boutieres,person,
Q96261,Murad I,person,
Q3954,Neptune,person,
Q1413,Nero,person,
Q1424,Nerva,person,
Q1267360,Nicanor,person,
Q315822,Nicias,person,
Q181585,Nicocreon,person,
personb20303,Ninachetuen,person,
Q213621,Niobe,person,
Q11939237,Octavius Sagitta,person,
Q170472,Origen,person,
Q7198,Ovid,person,
Q132582,Pan,person,
Q297420,Panaetius,person,
Q9200,Paul the Apostle,person,
Q457994,Pausanias of Orestis,person,
Q316059,Pelopidas,person,
Q6071438,Pentadius,person,
Q328793,Periander,person,
Q80398,Pericles,person,
Q207363,Perseus of Macedon,person,
Q332785,Persius,person,
Q1401,Petrarch,person,
