UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
882f6f7d-9f0c-4280-9185-b08aa46eb859,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Florio,char-offset:660,PERSON,,,,,,,,,notes,,
1525fcf3-3ffb-4c79-82c7-cb1161058fc3,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Herodotus,char-offset:944,PERSON,,,,,,,,,notes,,
422017a3-92c4-42cf-847d-c4af9ab8ff35,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,"Psammenitus, King of Egypt",char-offset:975,PERSON,,,,,,,,,,,
76dc0556-c8c7-428e-8fe6-b2745e8afe80,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,"Cambyses, King of Persia",char-offset:1040,PERSON,,,,,,,,,,,
5f6b2120-a692-494a-9c92-c7f5d626804d,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,prince of our own nation,char-offset:1748,PERSON,,,,,,,,,Charles de Guise,,
e80baa8e-c62a-4919-88be-0a7d3f98f889,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Trent,char-offset:1787,PLACE,http://pleiades.stoa.org/places/383804,"Trident(i)um|Tridentium/Tridentum, Trento|Trento",-0.515625,46.06692,11.12154,settlement,VERIFIED,,,,
7b1cd2ce-adbd-40d2-bd9e-639c9b939149,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Cambyses,char-offset:2603,PERSON,,,,,,,,,,,
2e782886-4ab4-414c-99ac-112447346ee8,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Psammenitus,char-offset:2619,PERSON,,,,,,,,,,,
2571d3e8-8195-4251-bf8f-d29f2f89e17b,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Cicero,char-offset:3004,PERSON,,,,,,,,,notes,,
f1b3c49b-d79f-43f1-ba69-aa0f046d80e4,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Pliny,char-offset:3032,PERSON,,,,,,,,,notes,,
8c1bd6a2-f570-4d14-b18a-a0600f32624d,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Iphigenia,char-offset:3083,PERSON,,,,,,,,,,,
8d32b48a-5ce2-41ae-a29e-2970909736dd,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Niobe,char-offset:3552,PERSON,,,,,,,,,,,
4e76c7fc-751d-451c-b686-2bf99358618f,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Ovid,char-offset:3763,PERSON,,,,,,,,,notes,,
05cb7d1f-84f1-48b6-8155-38aee21d2e1e,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,AEneid,char-offset:4600,PERSON,,,,,,,,Virgil,notes,,
0ec541f4-b45c-46af-8298-6cbeaaffdaaf,The_Essays_of_Montaigne_Book_I_Chapter_II.txt,Ferdinand,char-offset:4639,PERSON,,,,,,,,,,,
