person name,COMMENTS
Virgil,notes
Virgil,notes
"Cambyses, King of Persia",
"Cambyses, King of Persia",
Catullus,notes
Cicero,notes
Diodorus Siculus,
Diodorus Siculus,notes
Dionysius the Tyrant,notes
Dionysius the Tyrant,
Ferdinand I,
Guicciardini,notes
Herodotus,notes
Iphigenia,
Lesbia,
Niobe,
Ovid,notes
Petrarca,notes
Pliny,notes
Pliny,notes
Pliny,notes
Pope Leo X,
"Psammenitus, King of Egypt",
"Psammenitus, King of Egypt",
"Raisciac, a German lord",
Seneca,notes
Sophocles,
Thalna,
Isabella Jagiellon,
Charles de Guise,
