person name,Wikidata,Qids,country of citizenship,occupation,sex or gender,date of birth,,URLs,COMMENTS
"Cambyses, King of Persia",Cambyses II,Q182483,,sovereign,male,0559-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q182483,
"Cambyses, King of Persia",Cambyses II,Q182483,,sovereign,male,0559-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q182483,
Catullus,Catullus,Q163079,Ancient Rome,poet,male,0184-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q163079,notes
Charles de Guise,"Charles, Cardinal of Lorraine",Q712264,France,diplomat,male,1524-02-17T00:00:00Z,,https://www.wikidata.org/wiki/Q712264,
,,,,aristocrat,,,,,
,,,,Catholic priest,,,,,
,,,,Catholic bishop,,,,,
Cicero,Cicero,Q1541,Ancient Rome,philosopher,male,0106-01-03T00:00:00Z,,https://www.wikidata.org/wiki/Q1541,notes
,,,,poet,,,,,
,,,,political theorist,,,,,
,,,,jurist,,,,,
,,,,writer,,,,,
,,,,Ancient Roman priest,,,,,
,,,,Ancient Roman politician,,,,,
,,,,ancient Roman military personnel,,,,,
,,,,lawyer,,,,,
,,,,orator,,,,,
,,,,politician,,,,,
Diodorus Siculus,Diodorus Siculus,Q171241,Agyrion,historian,male,0190-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q171241,
,,,,geographer,,,,,
,,,,mythographer,,,,,
Diodorus Siculus,Diodorus Siculus,Q171241,Agyrion,historian,male,0190-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q171241,notes
,,,,geographer,,,,,
,,,,mythographer,,,,,
Dionysius the Tyrant,Dionysius I of Syracuse,Q332750,,politician,male,0430-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q332750,notes
,,,,,,0431-01-01T00:00:00Z,,,
Dionysius the Tyrant,Dionysius I of Syracuse,Q332750,,politician,male,0430-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q332750,
,,,,,,0431-01-01T00:00:00Z,,,
Ferdinand I,"Ferdinand I, Holy Roman Emperor",Q150611,Holy Roman Empire,aristocrat,male,1503-03-10T00:00:00Z,,https://www.wikidata.org/wiki/Q150611,
,,,,monarch,,1503-03-10T00:00:00Z,,,
,,,,politician,,,,,
Guicciardini,Francesco Guicciardini,Q44601,Republic of Florence,historian,male,1483-03-06T00:00:00Z,,https://www.wikidata.org/wiki/Q44601,notes
,,,,politician,,,,,
,,,,writer,,,,,
,,,,diplomat,,,,,
,,,,philosopher,,,,,
Herodotus,Herodotus,Q26825,Halicarnassus,historian,male,0484-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q26825,notes
Iphigenia,Iphigenia,Q192673,,,female,,,https://www.wikidata.org/wiki/Q192673,
Isabella Jagiellon,Isabella Jagiellon,Q235591,Hungary,queen regnant,female,1519-01-18T00:00:00Z,,https://www.wikidata.org/wiki/Q235591,
Lesbia,Lesbia,Q1235482,,,female,,,https://www.wikidata.org/wiki/Q1235482,
Niobe,Niobe,Q213621,,,female,,,https://www.wikidata.org/wiki/Q213621,
Ovid,Ovid,Q7198,Ancient Rome,poet,male,0143-03-20T00:00:00Z,,https://www.wikidata.org/wiki/Q7198,notes
Petrarca,Petrarch,Q1401,Republic of Florence,philosopher,male,1304-07-20T00:00:00Z,,https://www.wikidata.org/wiki/Q1401,notes
,,,,poet,,,,,
,,,,translator,,,,,
,,,,lyricist,,,,,
,,,,writer,,,,,
,,,,mountaineer,,,,,
,,,,autobiographer,,,,,
,,,,philologist,,,,,
,,,,humanist,,,,,
,,,,Catholic cleric,,,,,
Pliny,Pliny the Elder,Q82778,Ancient Rome,writer,male,0020-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q82778,notes
,,,,historian,,,,,
,,,,naturalist,,,,,
,,,,military personnel,,,,,
,,,,poet,,,,,
,,,,philosopher,,,,,
,,,,art historian,,,,,
,,,,civil servant,,,,,
,,,,military commander,,,,,
