Author,Sentence,Label
Act 1884,"WHEREAS the incoming of Chinese to British Columbia largely exceeds that of any other class of immigrant.",Cons
Act 1884,"And whereas it is expedient to pass special laws for the Government of Chinese.",Cons
Act 1884,"From and after the passage of this Act there shall be payable and paid by every Chinese in British Columbia the sum of ten dollars.",Cons
Act 1884,"Any Chinese who shall be found within the Province not having in his possession a licence shall forfeit and pay a sum not exceeding forty dollars.",Cons
Act 1884,"It shall be unlawful for any person to employ any Chinese who has not in his possession the licence required by this Act.",Cons
Act 1884,"This Act shall be cited as the Chinese Regulation Act, 1884.",Neutral
Act 1884,"The term Chinese wherever used in this Act shall mean any native of the Chinese Empire or its dependencies not born of British parents.",Neutral
Act 1884,"The Lieutenant-Governor in Council shall appoint Chinese Collectors to collect and receive such payments.",Neutral
Act 1884,"Any pecuniary penalty by this Act imposed may be sued for and recovered in a summary way before a Justice of the Peace.",Neutral
Act 1884,"This Act shall not come into operation until one year from the passage hereof.",Neutral
Crease,"Held, that the Chinese Regulation Act, 1884, is ultra vires of the Provincial Legislature.",Pro
Crease,"The same provisions that apply to Chinese may be made to apply also to Americans, Frenchmen, Germans, or any other foreigners.",Pro
Crease,"Thereupon the present action was brought to test if and how far Chinamen are to be treated, when they land on our shores, differently from other foreigners.",Pro
Crease,"Every Chinese is guilty until proved innocent, a provision which fills one conversant with subjects with alarm.",Pro
Crease,"The Act is so full of provisions that interfere directly with aliens, with trade, and with commerce, that I have no hesitation in pronouncing such provisions illegal and void.",Pro
Crease,"As to the first point aliens were as much subject to taxation as citizens.",Neutral
Crease,"The law did not deal with the conditions under which aliens might acquire rights or become subjects of Her Majesty.",Neutral
Crease,"Counsel cited statistics from the Chinese Commission showing the fiscal and commercial importance of the Chinese population.",Neutral
Crease,"Legislation as to aliens is reserved to the Dominion.",Neutral
Crease,"The reports of the higher California courts are of great authority for us on all Chinese questions.",Neutral
Crease,"Its object, though not apparent on the face of the Act, was to prevent Chinese coming into the Province and drive out those who had already come.",Cons
Crease,"If its object were successful and Chinese driven from the country, the customs dues received from the Chinese would be lost.",Cons
Crease,"The alien in this case being Chinese, the first enquiry must be, what is the object of the Act?",Cons
Crease,"The Act is found associated with another Act now disallowed, the express object of which is to prevent the Chinese altogether from coming to this country.",Cons
Crease,"The palpable object of such a provision is to render the employment of Chinese so distasteful and annoying to the employer that he must cease to employ them.",Cons
Begbie,"If the object of the Provincial Statute be to subject Chinamen to exceptional disadvantages it is clearly unconstitutional.",Pro
Begbie,"A State or Provincial law imposing special disabilities or unequal burdens on Chinamen is unconstitutional and void.",Pro
Begbie,"It is not competent to the Provincial Legislature, or to a municipality, to deprive particular nationalities of the capacity to take out municipal trade licenses.",Pro
Begbie,"A Chinaman has a right to apply for a pawnbroker's license.",Pro
Begbie,"The object of a statute is to be ascertained not only from its title or preamble, but mainly from its enactments.",Pro
Begbie,"A by-law, even if founded upon a valid statute, must be reasonable and not such as to defeat the object of the law.",Pro
Begbie,"The principles on which these impositions were declared null include personal liberty and the equality of all men before the law.",Pro
Begbie,"The previous decisions in Wing Chong's case and Tai Lung's case are approved and followed.",Pro
Begbie,"I cannot arrive at any other conclusion than that it is specially directed against Chinamen because they are Chinamen and for no other reason.",Pro
Begbie,"The appellants' contention that the clause is intended to hamper or expel Chinamen is much strengthened by the amount of the tax sanctioned.",Pro
Begbie,"The tax in question was intended not for the purpose of raising a revenue, but as a restriction on the Chinese.",Cons
Begbie,"No Chinaman will shave the back of his head; no true moujik will shave his chin.",Cons
Begbie,"No other description of labour taxed at all; this description of labour practically abandoned to Chinamen alone.",Cons
Begbie,"I cannot doubt but that the tax is directed against Chinamen, as such.",Cons
Begbie,"In the French colony of Cayenne, the Town Council imposed on merchants of that empire an extra tax of $300 per annum.",Cons
Commission,"Assuming Chinese immigrants of the laboring class will persist in retaining their present characteristics, the influx will continue to increase.",Neutral
Commission,"This immigration should be dealt with by Parliament.",Neutral
Commission,"No legislation should be such as would give a shock to great interests and enterprises established before Parliament would interfere.",Neutral
Commission,"The question is presented as one of policy rather than immediate prohibition.",Neutral
Commission,"The report discusses immigration, labor, and legal administration in descriptive rather than adjudicative terms.",Neutral
