term,category
pestilential,EXCLUSIONARY
inundation,EXCLUSIONARY
invasion,EXCLUSIONARY
horde,EXCLUSIONARY
hordes,EXCLUSIONARY
inferior,EXCLUSIONARY
degraded,EXCLUSIONARY
filthy,EXCLUSIONARY
undesirable,EXCLUSIONARY
objectionable,EXCLUSIONARY
expel,EXCLUSIONARY
exclude,EXCLUSIONARY
exclusion,EXCLUSIONARY
prohibit,EXCLUSIONARY
prohibition,EXCLUSIONARY
restrict,EXCLUSIONARY
restriction,EXCLUSIONARY
forfeit,EXCLUSIONARY
penalty,EXCLUSIONARY
conviction,EXCLUSIONARY
punish,EXCLUSIONARY
punishment,EXCLUSIONARY
overrun,EXCLUSIONARY
influx,EXCLUSIONARY
peculiar,EXCLUSIONARY
obnoxious,EXCLUSIONARY
entitled,RIGHTS_AFFIRMING
protection,RIGHTS_AFFIRMING
treaty,RIGHTS_AFFIRMING
treaties,RIGHTS_AFFIRMING
rights,RIGHTS_AFFIRMING
liberty,RIGHTS_AFFIRMING
justice,RIGHTS_AFFIRMING
equal,RIGHTS_AFFIRMING
equality,RIGHTS_AFFIRMING
unconstitutional,RIGHTS_AFFIRMING
ultra vires,RIGHTS_AFFIRMING
lawful,RIGHTS_AFFIRMING
subjects,RIGHTS_AFFIRMING
reciprocal,RIGHTS_AFFIRMING
naturalized,RIGHTS_AFFIRMING
naturalization,RIGHTS_AFFIRMING
privileges,RIGHTS_AFFIRMING
immunities,RIGHTS_AFFIRMING
freedoms,RIGHTS_AFFIRMING
certiorari,RIGHTS_AFFIRMING
habeas corpus,RIGHTS_AFFIRMING
chinaman,DEHUMANIZING
chinamen,DEHUMANIZING
celestial,DEHUMANIZING
celestials,DEHUMANIZING
coolie,DEHUMANIZING
coolies,DEHUMANIZING
heathen,DEHUMANIZING
heathens,DEHUMANIZING
mongolian,DEHUMANIZING
mongolians,DEHUMANIZING
pagan,DEHUMANIZING
pagans,DEHUMANIZING
statute,LEGAL_PROCEDURAL
statutes,LEGAL_PROCEDURAL
enacts,LEGAL_PROCEDURAL
enacted,LEGAL_PROCEDURAL
legislature,LEGAL_PROCEDURAL
legislation,LEGAL_PROCEDURAL
legislative,LEGAL_PROCEDURAL
jurisdiction,LEGAL_PROCEDURAL
parliament,LEGAL_PROCEDURAL
parliamentary,LEGAL_PROCEDURAL
dominion,LEGAL_PROCEDURAL
provincial,LEGAL_PROCEDURAL
municipality,LEGAL_PROCEDURAL
municipal,LEGAL_PROCEDURAL
corporation,LEGAL_PROCEDURAL
bylaw,LEGAL_PROCEDURAL
ordinance,LEGAL_PROCEDURAL
plaintiff,LEGAL_PROCEDURAL
defendant,LEGAL_PROCEDURAL
appellant,LEGAL_PROCEDURAL
respondent,LEGAL_PROCEDURAL
counsel,LEGAL_PROCEDURAL
provision,LEGAL_PROCEDURAL
provisions,LEGAL_PROCEDURAL
labor,ECONOMIC
labour,ECONOMIC
laborer,ECONOMIC
laborers,ECONOMIC
labourer,ECONOMIC
labourers,ECONOMIC
wages,ECONOMIC
employment,ECONOMIC
employer,ECONOMIC
commerce,ECONOMIC
trade,ECONOMIC
taxation,ECONOMIC
revenue,ECONOMIC
dollars,ECONOMIC
tariff,ECONOMIC
duty,ECONOMIC
fiscal,ECONOMIC
licence,ECONOMIC
license,ECONOMIC
toll,ECONOMIC
payable,ECONOMIC
collector,ECONOMIC
infected,SANITARY_MEDICAL
infection,SANITARY_MEDICAL
epidemic,SANITARY_MEDICAL
endemic,SANITARY_MEDICAL
quarantine,SANITARY_MEDICAL
smallpox,SANITARY_MEDICAL
cleansing,SANITARY_MEDICAL
filth,SANITARY_MEDICAL
sanitary,SANITARY_MEDICAL
health,SANITARY_MEDICAL
disease,SANITARY_MEDICAL
diseased,SANITARY_MEDICAL
overcrowded,SANITARY_MEDICAL
overcrowding,SANITARY_MEDICAL
nuisance,SANITARY_MEDICAL
