rank,url
1,yahoo.co.jp
3,biglobe.ne.jp
4,geocities.co.jp
5,nifty.com
7,dti.ne.jp
8,so-net.ne.jp
10,hi-ho.ne.jp
12,mbn.or.jp
13,lycos.co.jp
14,goo.ne.jp
15,odn.ne.jp
16,asahi-net.or.jp
17,justnet.ne.jp
18,rim.or.jp
19,interq.or.jp
20,iij4u.or.jp
21,neweb.ne.jp
22,infoseek.co.jp
23,bekkoame.ne.jp
24,ocn.ne.jp
25,rakuten.co.jp
26,dion.ne.jp
27,plala.or.jp
28,freeweb.ne.jp
29,impress.co.jp
30,nikkeibp.co.jp
31,sakura.ne.jp
32,highway.ne.jp
33,tcup.com
34,msn.co.jp
35,vector.co.jp
36,tripod.co.jp
37,3web.ne.jp
38,big.or.jp
39,cplaza.ne.jp
40,iijnet.or.jp
41,isize.com
42,excite.co.jp
43,cool.ne.jp
45,din.or.jp
47,www.ne.jp
48,xaxon.ne.jp
49,nikkei.co.jp
50,asahi.com
