"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
 "Society: Communities | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 01:17:54","http://web.archive.org/web/20130101011754/http://www.guardian.co.uk/society/communities/rss","20130101011754","http://www.guardian.co.uk/society/communities/rss" 
"Society: Housing | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 01:18:08","http://web.archive.org/web/20130101011808/http://www.guardian.co.uk/society/housing/rss","20130101011808","http://www.guardian.co.uk/society/housing/rss" 
"Culture: Sam Mendes | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 02:06:12","http://web.archive.org/web/20130101020612/http://www.guardian.co.uk/culture/sam-mendes/rss","20130101020612","http://www.guardian.co.uk/culture/sam-mendes/rss" 
"All news keywords | News | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 04:03:04","http://web.archive.org/web/20130101040304/http://www.guardian.co.uk/news/list/allnewskeywords","20130101040304","http://www.guardian.co.uk/news/list/allnewskeywords" 
"Science: Climate change | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 04:37:31","http://web.archive.org/web/20130101043731/http://www.guardian.co.uk/science/scienceofclimatechange/rss","20130101043731","http://www.guardian.co.uk/science/scienceofclimatechange/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 04:53:11","http://web.archive.org/web/20130101045311/http://www.guardian.co.uk/theguardian/2012/nov/19/sport/rss","20130101045311","http://www.guardian.co.uk/theguardian/2012/nov/19/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 04:54:23","http://web.archive.org/web/20130101045423/http://www.guardian.co.uk/theguardian/2012/nov/03/sport/rss","20130101045423","http://www.guardian.co.uk/theguardian/2012/nov/03/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 04:56:01","http://web.archive.org/web/20130101045601/http://www.guardian.co.uk/theguardian/2012/dec/29/sport/rss","20130101045601","http://www.guardian.co.uk/theguardian/2012/dec/29/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 04:56:54","http://web.archive.org/web/20130101045654/http://www.guardian.co.uk/theguardian/2012/dec/03/sport/rss","20130101045654","http://www.guardian.co.uk/theguardian/2012/dec/03/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 04:59:22","http://web.archive.org/web/20130101045922/http://www.guardian.co.uk/theguardian/2012/nov/17/sport/rss","20130101045922","http://www.guardian.co.uk/theguardian/2012/nov/17/sport/rss" 
"Sport: Olympic Games 2012 | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:00:07","http://web.archive.org/web/20130101050007/http://www.guardian.co.uk/sport/olympics-2012/rss","20130101050007","http://www.guardian.co.uk/sport/olympics-2012/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:01:38","http://web.archive.org/web/20130101050138/http://www.guardian.co.uk/theguardian/2012/nov/12/sport/rss","20130101050138","http://www.guardian.co.uk/theguardian/2012/nov/12/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:02:55","http://web.archive.org/web/20130101050255/http://www.guardian.co.uk/theguardian/2012/dec/17/sport/rss","20130101050255","http://www.guardian.co.uk/theguardian/2012/dec/17/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:05:35","http://web.archive.org/web/20130101050535/http://www.guardian.co.uk/theguardian/2012/nov/10/sport/rss","20130101050535","http://www.guardian.co.uk/theguardian/2012/nov/10/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:08:23","http://web.archive.org/web/20130101050823/http://www.guardian.co.uk/theguardian/2012/nov/26/sport/rss","20130101050823","http://www.guardian.co.uk/theguardian/2012/nov/26/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:09:19","http://web.archive.org/web/20130101050919/http://www.guardian.co.uk/theguardian/2012/nov/24/sport/rss","20130101050919","http://www.guardian.co.uk/theguardian/2012/nov/24/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:11:08","http://web.archive.org/web/20130101051108/http://www.guardian.co.uk/theguardian/2012/oct/29/sport/rss","20130101051108","http://www.guardian.co.uk/theguardian/2012/oct/29/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:12:55","http://web.archive.org/web/20130101051255/http://www.guardian.co.uk/theguardian/sport/rss","20130101051255","http://www.guardian.co.uk/theguardian/sport/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:15:32","http://web.archive.org/web/20130101051532/http://www.guardian.co.uk/theguardian/2012/dec/01/sport/rss","20130101051532","http://www.guardian.co.uk/theguardian/2012/dec/01/sport/rss" 
"Swimming | Sport | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 05:23:25","http://web.archive.org/web/20130101052325/http://www.guardian.co.uk/sport/swimming","20130101052325","http://www.guardian.co.uk/sport/swimming" 
"Paralympic honours row: David Weir should have got a knighthood, says MP | Politics | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 05:40:58","http://web.archive.org/web/20130101054058/http://www.guardian.co.uk/politics/2012/dec/30/paralympians-honours-david-weir","20130101054058","http://www.guardian.co.uk/politics/2012/dec/30/paralympians-honours-david-weir" 
"UK news: Olympic legacy | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 05:41:26","http://web.archive.org/web/20130101054126/http://www.guardian.co.uk/uk/olympic-legacy/rss","20130101054126","http://www.guardian.co.uk/uk/olympic-legacy/rss" 
"UK news: London | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 08:05:57","http://web.archive.org/web/20130101080557/http://www.guardian.co.uk/uk/london/rss","20130101080557","http://www.guardian.co.uk/uk/london/rss" 
"Letters: Give youth clubs money for sport | UK news | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-01 08:07:56","http://web.archive.org/web/20130101080756/http://www.guardian.co.uk/uk/2012/dec/31/give-youth-clubs-money-sport","20130101080756","http://www.guardian.co.uk/uk/2012/dec/31/give-youth-clubs-money-sport" 
"Science: Climate change | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-01 08:38:31","http://web.archive.org/web/20130101083831/http://www.guardian.co.uk/science/scienceofclimatechange/rss","20130101083831","http://www.guardian.co.uk/science/scienceofclimatechange/rss" 
