htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
hvd.32044018906883	1	pd	9444571		HVD	006021949	20867898				La virgen del sol, leyenda indiana por Juan Leon Mera.	Imprenta de los huerfanos de Valencia, 1861.	bib	2012-05-13 19:32:07	0	1861	ec 	spa	BK	HVD	harvard	harvard	google	google	Mera, Juan León, 1832-1894.	https://catalog.hathitrust.org/Record/9444571	https://hdl.handle.net/2027/hvd.32044018906883
inu.30000027536063	1	pdus	8565377		INU	4556352	27257109				Baratijas literarias / por Máximo A. Ródriguez.	Imp. Lojana, 1915.	bib	2014-10-01 03:28:14	0	1915	ec 	spa	BK	INU	iu	iu	google	google	Ródriguez, Máximo A.	https://catalog.hathitrust.org/Record/8565377	https://hdl.handle.net/2027/inu.30000027536063
inu.30000097673002	1	pdus	11819702		INU	2404646	15860159			86231910	Relación de un veterano de la independencia / por Carlos R. Tobar.	Impr. de la Universidad Central, 1895-	gfv	2012-10-29 01:02:32	0	9999	ec 	spa	BK	INU	iu	iu	google	google	Tobar, Carlos R. 1854-1920.	https://catalog.hathitrust.org/Record/11819702	https://hdl.handle.net/2027/inu.30000097673002
inu.32000004726644	1	pdus	7571497		INU	2407057	25666738				El hombre que no supo vivir (Historia de un inadaptado)	Talleres Graficos, 1926.	bib	2022-01-01 03:25:15	0	1926	cl 	spa	BK	INU	iu	iu	google	google	Uzcátegui, Emilio, 1899-	https://catalog.hathitrust.org/Record/7571497	https://hdl.handle.net/2027/inu.32000004726644
inu.32000004730166	1	pdus	8549511		INU	2406405	25644118			38008061	Reveses de la fortuna (cuadros de costumbres ecuatorianas) con un estudio crt̕ico del sr. dr. d. Francisco Jos ̌Urrutia.	"El Comercio", Mantilla hnos. [1910]	bib	2014-09-27 03:26:05	0	1910	ec 	spa	BK	INU	iu	iu	google	google	Ontaneda, J. Virgilio.	https://catalog.hathitrust.org/Record/8549511	https://hdl.handle.net/2027/inu.32000004730166
inu.32000004794600	1	pdus	7570105		INU	2406529	25645565				Rayos catódicos y fuegos fatuos, por José Antonio Campos.	Imprenta Mercantil, 1906-07.	bib	2010-04-06 19:30:42	0	1907	ec 	spa	BK	INU	iu	iu	google	google	Campos, José Antonio, 1868-	https://catalog.hathitrust.org/Record/7570105	https://hdl.handle.net/2027/inu.32000004794600
inu.32000004798858	1	pd	6004796		INU	2404716	8012563			19010328	Páginas del Ecuador / Marietta de Veintemilla.	[s.n.], 1890 Imprenta Liberal de F. Masias)	bib	2021-01-20 16:40:36	0	1890	pe 	spa	BK	INU	iu	iu	google	google	Veintemilla, Marietta de, 1858-1907.	https://catalog.hathitrust.org/Record/6004796	https://hdl.handle.net/2027/inu.32000004798858
inu.32000004799013	0	ic	7571402		INU	2407921	25682775				La casa de los locos; novela escrita para agotar la paciencia de cualquier lector i dedicada a los niños i a los viejos de mi patria infantil.	Artes gráficas "Senefelder", 1929.	bib	2014-10-03 03:27:05	0	1929	ec 	spa	BK	INU	iu	iu	google	google	Pareja y Díez Canseco, Alfredo, 1908-	https://catalog.hathitrust.org/Record/7571402	https://hdl.handle.net/2027/inu.32000004799013
inu.32000004799302	0	ic	7571388		INU	2407961	25683144				Flora (O un idilio en la costa ecuatoriana) Novela corta de costumbres.	Impr. Fernández, 1938.	bib	2014-10-03 03:27:05	0	1938	ec 	spa	BK	INU	iu	iu	google	google	Proaño M., Victor A.	https://catalog.hathitrust.org/Record/7571388	https://hdl.handle.net/2027/inu.32000004799302
inu.32000004802098	1	pdus	7570142		INU	2407166	25668812			38006420	La bandera negra, novela original por Fidel Alomia.	Tip. de la Escuela de artes y oficios, 1900.	bib	2010-04-06 19:30:43	0	1900	ec 	spa	BK	INU	iu	iu	google	google	Alomia, Fidel.	https://catalog.hathitrust.org/Record/7570142	https://hdl.handle.net/2027/inu.32000004802098
inu.32000004802536	1	pdus	7570125		INU	2406120	25639089				Iris, novela.	Folletín de El Dia, 1923.	bib	2019-01-01 07:28:43	0	1923	ec 	spa	BK	INU	iu	iu	google	google	Arroyo, César Emilio, 1890-1937.	https://catalog.hathitrust.org/Record/7570125	https://hdl.handle.net/2027/inu.32000004802536
