participant_id,group,l1,instruction,aoa,years_learning,item_id,tense,adverb_type,adverb_example,rating
N01,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,6
N01,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,5
N01,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N01,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,4
N01,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,2
N01,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,1
N01,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N01,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N01,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N01,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,2
N01,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,1
N01,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N01,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N01,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,6
N01,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,6
N01,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N01,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N01,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N02,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,6
N02,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,7
N02,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N02,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N02,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,3
N02,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,1
N02,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,6
N02,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,5
N02,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N02,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,4
N02,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,4
N02,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N02,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,6
N02,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,6
N02,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N02,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,3
N02,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,2
N02,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N03,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
