origincityLabel,origincountry,originlat,originlong,originpopulation,sistercityLabel,destinationlat,destinationlong,destinationpopulation,destination_countryLabel,dist,eu
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Asti,44.9,8.206944444,76173,Italy,1406,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Graz,47.06666667,15.43333333,282479,Austria,777,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Toledo,39.86666667,-4.033333333,83459,Spain,2484,EU
Obzor,Bulgaria,42.823,27.8787,2125,18th district of Budapest,47.43333333,19.16666667,101613,Hungary,853,EU
Obzor,Bulgaria,42.823,27.8787,2125,18th district of Budapest,47.43333333,19.16666667,101613,Hungary,854,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Cieszyn,49.75,18.63333333,36119,Poland,1012,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Chojna,52.96666667,14.41666667,,Poland,1390,EU
Troyan,Bulgaria,42.88444444,24.70944444,22022,Forlì,44.2225,12.04083333,117859,Italy,1031,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Helsinki,60.17333333,24.94861111,620982,Finland,1946,EU
Dimitrovgrad,Bulgaria,42.06111111,25.59333333,38217,Kalamaria,40.583333,22.95,91279,Greece,275,EU
Smolyan,Bulgaria,41.57527778,24.71277778,30507,Motril,36.74527778,-3.520555556,60368,Spain,2481,EU
Montana,Bulgaria,43.40777778,23.225,44502,Salvatierra/Agurain,42.8492849,-2.3890554,4985,Spain,2071,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Hagfors,60.03333333,13.65,5146,Sweden,2091,EU
Blagoevgrad,Bulgaria,42.02194444,23.0975,76811,Serres,41.08333333,23.55,58287,Greece,111,EU
Yambol,Bulgaria,42.48444444,26.50861111,79771,Dublin,53.3425,-6.265833333,527612,Ireland,2693,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Oxelösund,58.66666667,17.11666667,15085,Sweden,1850,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Prienai,54.63333333,23.94166667,,Lithuania,1313,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Alexandroupoli,40.85,25.86666667,57812,Greece,123,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Kraków,50.06666667,19.95,761900,Poland,889,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Sopron,47.68472222,16.58305556,61780,Hungary,872,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Nowy Sącz,49.62388889,20.69722222,,Poland,830,EU
Dobrich,Bulgaria,43.56666667,27.83333333,91030,Ferrara,44.835297,11.619865,132445,Italy,1298,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Barcelona,41.3825,2.176944444,1608746,Spain,2118,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Aalborg,57.05,9.916666667,112194,Denmark,1991,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Vienna,48.20833,16.373064,1840573,Austria,818,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Panevėžys,55.725,24.36388889,,Lithuania,1431,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Orosei,40.37972222,9.694166667,,Italy,1137,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Novara,45.45,8.616666667,104471,Italy,1414,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Madrid,40.41888889,-3.691944444,3165541,Spain,2253,EU
Pazardzhik,Bulgaria,42.18916667,24.33166667,71979,Tatabánya,47.58616,18.39485,66791,Hungary,760,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Milan,45.464161,9.190336,1359905,Italy,1169,EU
Smolyan,Bulgaria,41.57527778,24.71277778,30507,Xanthi,41.13333333,24.88333333,56122,Greece,51,EU
Shumen,Bulgaria,43.27,26.92444444,80511,Debrecen,47.53,21.63916667,203506,Hungary,628,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Preveza,38.95,20.75,19042,Greece,590,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Kavala,40.93555556,24.40916667,70501,Greece,384,EU
Gorna Oryahovitsa,Bulgaria,43.12222222,25.68972222,32792,Szigetszentmiklós,47.34527778,19.04833333,35656,Hungary,700,EU
Sliven,Bulgaria,42.68083333,26.31638889,89848,Pécs,46.08333333,18.21666667,145985,Hungary,746,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Piraeus,37.96666667,23.63333333,163910,Greece,686,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Bellagio,45.9875,9.261944444,,Italy,1332,EU
Karlovo,Bulgaria,42.643034,24.805346,27659,Konin,52.21666667,18.26666667,,Poland,1171,EU
